DG_PRODUCTCD,Action,DG_PRODUCTDESC,MV_PRODUCTCD,MV_GLOBEX_PRODUCTCD,CURRENT_PERIOD,SETTLE_LOW,SETTLE_HIGH,DIVIDE,DG_PRODUCTCD_,IsBraket,Sample MV model,Profile(All/custom/default),RELATIVE_CODE,SERVER DHUB,STL Jobs,Datasets without E file Job
CME_NYMEX_CD,,none,,,,0.1,5,,CD,,,,CMENYMCD_REL,,YES,YES
CME_NYMEX_EB,,none,,,,70,150,,EB,,,,CMENYMEB_REL,,YES,NO
CME_NYMEX_EC,,none,,,,0.1,5,,EC,,,,CMENYMEC_REL,,NO,YES
CME_NYMEX_ED,,none,,,,50,150,,ED,,,,CMENYMED_REL,,YES,NO
CME_NYMEX_ES,,none,,,,2300,3000,,ES,,,,CMENYMES_REL,,YES,NO
CME_NYMEX_JY,,none,,,,0.001,0.1,,JY,,,,CMENYMJY_REL,,YES,YES
CME_NYMEX_LC,,none,,,,70,180,,LC,,,,CMENYMLC_REL,,NO,NO
CME_NYMEX_MP,,none,,,,0.01,0.5,,MP,,,,CMENYMMP_REL,,NO,NO
CME_NYMEX_NE,,none,,,,0.1,2,,NE,,,,CMENYMNE_REL,,YES,NO
CME_NYMEX_PZ,,none,,,,0.1,1,,PZ,,,,CMENYMPZ_REL,,NO,NO
CME_NYMEX_RMB,,none,,,,0.1,1,,RMB,,,,CMENYMRMB_REL,,YES,NO
CME_NYMEX_SF,,none,,,,0.1,5,,SF,,,,CMENYMSF_REL,,NO,YES
CME_NYMEX_1R,,none,,,,0.1,5,,1R,,,,CMENYM1R_REL,,NO,NO
CME_NYMEX_1X,,none,,,,0,0,,1X,,,,CMENYM1X_REL,,NO,NO
CME_NYMEX_38,,none,,,,-2,2,,38,,,,CMENYM38_REL,,NO,NO
CME_NYMEX_7Q,,none,,,,0,0,,7Q,,,,CMENYM7Q_REL,,NO,NO
CME_NYMEX_8I,,none,,,,0.1,5,,8I,,,,CMENYM8I_REL,,NO,NO
CME_NYMEX_8K,,none,,,,0.1,5,,8K,,,,CMENYM8K_REL,,NO,NO
CME_NYMEX_B0,,none,,,,0.1,5,,B0,,,,CMENYMB0_REL,,NO,NO
CME_NYMEX_CSN,,none,,,,-10,7,,CSN,,,,CMENYMCSN_REL,,YES,NO
CME_NYMEX_EWG,,none,,,,-5,5,,EWG,,,,CMENYMEWG_REL,,YES,NO
CME_NYMEX_GX,,none,,,,350,900,,GX,,,,CMENYMGX_REL,,NO,NO
CME_NYMEX_ICI,,none,,,,10,100,,ICI,,,,CMENYMICI_REL,,NO,NO
CME_NYMEX_JB,,none,,,,-7,3,,JB,,,,CMENYMJB_REL,,NO,NO
CME_NYMEX_JET,,none,,,,0,0,,JET,,,,CMENYMJET_REL,,NO,NO
CME_NYMEX_JKM,,none,,,,3,20,,JKM,,,,CMENYMJKM_REL,,NO,NO
CME_NYMEX_MPE,,none,,,,0,0,,MPE,,,,CMENYMMPE_REL,,NO,NO
CME_NYMEX_MSG,,none,,,,50,150,,MSG,,,,CMENYMMSG_REL,,NO,NO
CME_NYMEX_NPG,,none,,,,1,10,,NPG,,,,CMENYMNPG_REL,,YES,NO
CME_NYMEX_PA,,none,,,,500,1500,,PA,,,,CMENYMPA_REL,,NO,NO
CME_NYMEX_QEN,,none,,,,0,0,,QEN,,,,CMENYMQEN_REL,,NO,NO
